review_id,customer_id,product_id,product_parent,review_date
R3W4P9UBGNGH1U,16414143,B00YL0EKWE,852431543,2015-08-31
R15V54KBMTQWAY,50800750,B00XK95RPQ,516894650,2015-08-31
RY8I449HNXSVF,15184378,B00SXRXUKO,984297154,2015-08-31
R18TLJYCKJFLSR,10203548,B009V5X1CE,279912704,2015-08-31
R1NK26SWS53B8Q,488280,B00D93OVF0,662791300,2015-08-31
R11LOHEDYJALTN,13334021,B00XVGJMDQ,421688488,2015-08-31
R3ALQVQB2P9LA7,27520697,B00KQW1X1C,554285554,2015-08-31
R3MWLXLNO21PDQ,48086021,B00IP1MQNK,488006702,2015-08-31
R2L15IS24CX0LI,12738196,B00HVORET8,389677711,2015-08-31
R1DJ8976WPWVZU,15867807,B00HX3G6J6,299654876,2015-08-31
R3MRWNNR8CBTB7,1972249,B00U4NATNQ,577878727,2015-08-31
R1DS6DKTUXAQK3,10956619,B00SZEFDH8,654620704,2015-08-31
RWJM5E0TWUJD2,14805911,B00JRJUL9U,391166958,2015-08-31
R1XTJKDYNCRGAC,15611116,B00KQ4T0HE,481551630,2015-08-31
R2UZL3DPWEU1XW,39298603,B00M0YWKPM,685107474,2015-08-31
R2EZXET9KBFFU3,17552454,B00KDZEE68,148320945,2015-08-31
R26VY1L1FD3LPU,12218556,B00BJN45GM,47788188,2015-08-31
R2SSA4NSFCV18T,21872923,B00SA86SXW,748759272,2015-08-31
R1G6333JHJNEUQ,16264332,B00Q3I68TU,974085141,2015-08-31
R2DRG0UZXJQ0PE,6042304,B00TN4J1TA,716174627,2015-08-31
R3SPEGYBROLSP1,4811414,B00QQTFYAA,194128090,2015-08-31
R3F2UCQP76K15C,16060664,B009NLTW60,135929473,2015-08-31
R2L3WX7SMIV8FH,44078192,B0113ISNRE,909555271,2015-08-31
R34KV4IES8WA1N,2873589,B00ZBGVBOC,414657030,2015-08-31
RNE3IY22V95PL,5835682,B010VRQX7K,453248560,2015-08-31
R65NIT67FDJ0H,27545517,B012QTQPOM,754587000,2015-08-31
R1KGBXK80M1R30,21028313,B00N4OL0RQ,11791847,2015-08-31
R3MN996N2GO2RD,23129086,B003K7F82K,190427943,2015-08-31
R18PBERCEATYEO,6432063,B00AMPHJOS,431730593,2015-08-31
R1576WSQIOU45F,9979312,B00NMNYJX6,601065808,2015-08-31
R2ZYZJI6R9ATDL,132280,B00JQI2G5O,362894080,2015-08-31
R3HXHIAJC3UZKD,16774212,B00QN1TCDQ,211203788,2015-08-31
R3MZUQRRR2555B,12342819,B00UIC2SOG,189785177,2015-08-31
RD9SH7L0OFR01,40791829,B010U9EV6E,469776990,2015-08-31
R3FLFXDI6CDTS4,128621,B002BBJMO6,3750612,2015-08-31
R3ACAUE7ZTCE7G,45384795,B00OMFPQXU,658436736,2015-08-31
R2KWWKW7DA19B6,16398318,B00NLY1BB4,33506019,2015-08-31
R1KBYD7KND6KUE,43381227,B00HG2QMQQ,611648817,2015-08-31
R19SUDXUKPGJVB,1077816,B00VGJ64AO,599517601,2015-08-31
R2ZHHWBPM9FBD8,1393265,B00KVAUEFK,91818040,2015-08-31
R13V0HC4L9ECDE,11203588,B00WNXY06W,777383730,2015-08-31
R1IZNBOV3L5F0S,112013,B012W7Q8DQ,520571010,2015-08-31
RGAPEQ5KY83QM,48290383,B00AFYYRL4,654312522,2015-08-31
R2W2UYD2H35OPQ,41485531,B00RZA0EXQ,691188802,2015-08-31
R3C52X39X5IW3M,22116711,B00FKNHEJW,108729355,2015-08-31
R1VX3PP8OVEDOH,43418856,B00OIK33LG,99837996,2015-08-31
R32I3OFJD3C7JQ,34899222,B00QQW2O14,634201382,2015-08-31
R33T5ZP2M2QGYH,50824213,B00NKZB5Q0,650573041,2015-08-31
R3SZQLFW4Q57TT,11740675,B00N1AFY1Q,922904496,2015-08-31
R2DG8BIUXJS4ZA,31060851,B00MAWP68W,562844680,2015-08-31
